name,brewery_type,address,state,phone,website_url,country,region,division
4204 Main Street Brewing Co,brewpub,4204 W Main St Belleville Illinois 62226,Illinois,6184167261,Not Available,United States,Midwest,East North Central
47 Hills Brewing Co,brewpub,137 S Linden Ave South San Francisco California 94080-6410,California,6508678476,http://47hillsbrewingcompany.com,United States,West,Pacific
49th State Brewing Co - Anchorage,brewpub,717 W 3rd Ave Anchorage Alaska 99501-2104,Alaska,9076832739,http://www.49statebrewing.com/,United States,West,Pacific
49th State Brewing Co,micro,248.4 Parks Hwy 5 Mile Healy Alaska 99743,Alaska,9076832739,https://www.49statebrewing.com/denali,United States,West,Pacific
4B's Brewery,brewpub,215 W Main St Cedaredge Colorado 81413-3339,Colorado,9708567762,http://www.4bsbrewery.com,United States,West,Mountain
4kd Crick Brewery,brewpub,211 Carpenter Rd Defiance Ohio 43512-1718,Ohio,4199562863,http://Www.4kdcrickbrewery.com,United States,Midwest,East North Central
4th Tap Brewing Cooperative,micro,10615 Metric Blvd Austin Texas 78758-4520,Texas,5129089817,Not Available,United States,South,West South Central
5 Alarm Brewing Co,micro,211 W Main St Lake Mills Iowa 50450,Iowa,6415922739,Not Available,United States,Midwest,West North Central
5 Lakes Brewing Co.,brewpub,1638 142nd Ave Dorr Michigan 49323-9312,Michigan,6163599555,http://www.5lakesbrewing.com,United States,Midwest,East North Central
5 Rabbit Cerveceria Inc,micro,6398 W 74th St Chicago Illinois 60638-6129,Illinois,3128959591,http://www.5rabbitbrewery.com,United States,Midwest,East North Central
5 Rights Brewing Co,micro,7028 46th St NE Marysville Washington 98270-6989,Washington,4253341026,http://www.5rightsbrewing.com,United States,West,Pacific
5 Rivers Brewing LLC,planning,Not Available Spanish Fort Alabama 36527-3161,Alabama,2516897483,http://5riversbrewing.com,United States,South,East South Central
5 Seasons Brewing Co - Prado,brewpub,5600 Roswell Rd Sandy Springs Georgia 30342-1150,Georgia,4042555911,http://www.5seasonsbrewing.com,United States,South,South Atlantic
5 Stones Artisan Brewery,micro,11335 Farm To Market Road 1863 New Braunfels Texas 78132,Texas,2103808215,Not Available,United States,South,West South Central
515 Brewing Co,micro,7700 University Ave Clive Iowa 50325-1271,Iowa,5156614615,http://www.515brewing.com,United States,Midwest,West North Central
5150 Brewing At The Brass Tap Rocklin,micro,5150 Commons Dr Ste 101 Rocklin California 95677-3925,California,9162462729,http://www.brasstaprocklin.com,United States,West,Pacific
51st State Brewing Company,brewpub,115 Harding Ave Kingsford Michigan 49802-3815,Michigan,9068282167,http://www.51ststatebrewingcompany.com,United States,Midwest,East North Central
51st Ward Beer Company,contract,323 N Washington St Westmont Illinois 60559-1512,Illinois,7732205899,Not Available,United States,Midwest,East North Central
550 Brewing,proprietor,119 E Chuska St Aztec New Mexico 87410-2110,New Mexico,5054861094,http://Www.550brew.com,United States,West,Mountain
559 Local Brewing,micro,608 4th St Clovis California 93612-1183,California,5594731875,http://www.fresnobrewingcompany.com,United States,West,Pacific
5770 Brewery,micro,303A W Main St Teutopolis Illinois 62467-1355,Illinois,6183397841,http://www.5770brewery.com,United States,Midwest,East North Central
6 & 40 Brewery/Taproom,planning,Not Available Lakewood Colorado 80215-5548,Colorado,3032325347,http://www.tomsbrewshop.com,United States,West,Mountain
6 Degrees of Separation,brewpub,35 Main St Ossining New York 10562-4662,New York,9144325969,http://www.6degreesbp.com,United States,Northeast,Middle Atlantic
612 Brew,micro,945 Broadway St NE Minneapolis Minnesota 55413-1471,Minnesota,6129648939,http://www.612brew.com,United States,Midwest,West North Central
6th and La Brea,brewpub,600 South La Brea Ave Los Angeles California 90036,California,Not Available,http://www.6thlabrea.com,United States,West,Pacific
7 Devils Brewing Co,brewpub,247 S 2nd St Coos Bay Oregon 97420-1642,Oregon,5418083738,http://www.7devilsbrewery.com,United States,West,Pacific
7 Hills Brewing Company,brewpub,1085 Washington St Dubuque Iowa 52001-4932,Iowa,5635878306,http://www.7hillsbrew.com,United States,Midwest,West North Central
7 Seas Brewing Co,micro,2101 Jefferson Ave Tacoma Washington 98402-1519,Washington,2535727771,http://www.7seasbrewing.com,United States,West,Pacific
7 Sins Brewery,micro,10593 W Main Rd Ripley New York 14775-9746,New York,7165812090,http://www.7sinsbrewery.com,United States,Northeast,Middle Atlantic
7 Sisters Brewing Co,brewpub,181 Tank Farm Rd Ste 110 San Luis Obispo California 93401-7082,California,8058687133,http://www.7sistersbrewing.com,United States,West,Pacific
"718BrewCafe, LLP",brewpub,718 Market St Metropolis Illinois 62960-1634,Illinois,6185247180,http://www.718BrewCafe.com,United States,Midwest,East North Central
734 Brewing Company,micro,15 E Cross St Ypsilanti Michigan 48198,Michigan,7346496453,Not Available,United States,Midwest,East North Central
7th Settlement Brewery,brewpub,47 Washington St Dover New Hampshire 03820-3877,New Hampshire,6033731001,http://www.7thsettlement.com,United States,Northeast,New England
7venth Sun Tampa,micro,6809 N Nebraska Ave Tampa Florida 33604-5660,Florida,8132315900,Not Available,United States,South,South Atlantic
841 Brewhouse,brewpub,841 E Milwaukee St Whitewater Wisconsin 53190-2126,Wisconsin,2624738000,Not Available,United States,Midwest,East North Central
8one8 Brewing Company,micro,8951 de Soto Ave Canoga Park California 91304-5901,California,8188352286,http://www.818brewing.com,United States,West,Pacific
8th Street Ale Haus,brewpub,1132 N 8th St Sheboygan Wisconsin 53081-3402,Wisconsin,9202087540,http://www.sheboyganalehaus.com,United States,Midwest,East North Central
8th Wonder Brewery,micro,2202 Dallas St Houston Texas 77003-3519,Texas,7133970072,http://www.8thwonderbrew.com,United States,South,West South Central
903 Brewers,micro,1718 S Elm St Sherman Texas 75090-8725,Texas,2142438090,http://www.903brewers.com,United States,South,West South Central
927 Beer Company,micro,821 Cornwall St Cambria California 93428-2434,California,8052035265,http://www.cambriabeerco.com,United States,West,Pacific
95ate5 Brewpub,brewpub,9585 N Industrial Dr Saint John Indiana 46373,Indiana,2193656506,http://www.95ate5.com,United States,Midwest,East North Central
Aardwolf Brewing Company,micro,1461 Hendricks Ave Jacksonville Florida 32207-8622,Florida,9043010755,http://www.aardwolfbrewing.com,United States,South,South Atlantic
Abbey Brewing Co,contract,1115 16th St Miami Beach Florida 33139-2441,Florida,3055388110,Not Available,United States,South,South Atlantic
"Abbey Brewing Company, LLC",micro,215 W. Alicante Rd Santa Fe New Mexico 87505,New Mexico,5056706802,http://www.abbeybrewing.biz,United States,West,Mountain
Aberrant Ales,brewpub,219 W Grand River Ave Howell Michigan 48843,Michigan,5175188699,http://www.aberrantales.com,United States,Midwest,East North Central
Abide Brewing Company,micro,110 Werz Industrial Blvd Ste 130 Newnan Georgia 30263-5802,Georgia,6789726747,http://www.abidebrewing.com,United States,South,South Atlantic
Abigaile,brewpub,1301 Manhattan Ave Hermosa Beach California 90254-3666,California,3107988227,http://abigailrestaurant.com,United States,West,Pacific
Able Ebenezer Brewing Company,micro,31 Columbia Cir Merrimack New Hampshire 03054-4161,New Hampshire,8442232253,http://www.ableebenezer.com,United States,Northeast,New England
Able Seedhouse and Brewery,micro,1121 Quincy St NE Minneapolis Minnesota 55413-2773,Minnesota,6124054642,http://www.ablebeer.com,United States,Midwest,West North Central
Abnormal Beer Company,micro,16990 Via Tazon Ste 123 San Diego California 92127-1649,California,8586182463,http://abnormalbeer.co,United States,West,Pacific
Abolitionist Ale Works,brewpub,129 W Washington St Charles Town West Virginia 25414-1529,West Virginia,6812521548,http://www.abolitionistaleworks.com,United States,South,South Atlantic
Abridged Beer Company,brewpub,100 Lockett Rd Knoxville Tennessee 37919-4807,Tennessee,8658989438,http://www.abridgedbeer.com,United States,South,East South Central
Absolution Brewing Co,micro,2878 Columbia St Torrance California 90503-3808,California,3104904860,http://www.absolutionbrewingcompany.com,United States,West,Pacific
Absolution By the Sea,brewpub,7536 Fay Ave La Jolla California 92037-4839,California,6192024152,Not Available,United States,West,Pacific
Accomplice Beer Company,brewpub,115 W 15th St Cheyenne Wyoming 82001-4564,Wyoming,3076322337,http://www.accomplicebeer.com,United States,West,Mountain
Acidulous Brewing Company,contract,6712 S Independence St Littleton Colorado 80128-4046,Colorado,3039952895,Not Available,United States,West,Mountain
Acopon Brewing Co,micro,211 W Mercer St Dripping Springs Texas 78620-5363,Texas,5128294723,http://www.acoponbrewing.com,United States,South,West South Central
"Actual Brewing Company, LLC",micro,655 N James Rd Columbus Ohio 43219-1837,Ohio,6146363825,http://wwww.actualbeer.com,United States,Midwest,East North Central
Adam's Northwest Bistro / Twin Rivers Brewing,brewpub,104 N Lewis St Monroe Washington 98272-1502,Washington,3607944056,http://www.adamsnwbistro.com,United States,West,Pacific
Adelbert's Brewery LLC,micro,2314 Rutland Dr Ste 100 Austin Texas 78758-5273,Texas,5126621462,http://www.adelbertsbeer.com,United States,South,West South Central
Adirondack Pub and Brewery,micro,33 Canada St Lake George New York 12845-1603,New York,5186680002,http://www.adkpub.com,United States,Northeast,Middle Atlantic
Adirondack Toboggan Company Microbrewery,micro,202A W Main St Gouverneur New York 13642-1334,New York,3157716313,http://www.adktoboggan.net,United States,Northeast,Middle Atlantic
AdMerk Corp. Inc.,contract,20 F St NW Washington District of Columbia 20001-6700,District of Columbia,6172028069,http://www.paugustin.com,United States,South,South Atlantic
Aero Craft Brewing,planning,Not Available Denver Colorado 80212-2199,Colorado,3039185446,http://www.aerocraft.beer,United States,West,Mountain
Aero Plains Brewing,micro,117 N Handley St Wichita Kansas 67203-6114,Kansas,3164482811,http://www.aeroplainsbrewing.com,United States,Midwest,West North Central
Aeronaut Brewing Company,micro,14 Tyler St Somerville Massachusetts 02143-3224,Massachusetts,6179874236,http://www.aeronautbrewing.com,United States,Northeast,New England
Aftershock Brewing Co,micro,28822 Old Town Front St Ste 107 Temecula California 92590-2893,California,9519722256,http://www.aftershockbrewingco.com,United States,West,Pacific
Afterthought Brewing Company,micro,844 N Ridge Ave Lombard Illinois 60148-1215,Illinois,6303011615,http://afterthoughtbrewing.com,United States,Midwest,East North Central
Against the Grain Brewery,micro,401 E Main St Louisville Kentucky 40202-1110,Kentucky,5025150174,http://atgbrewery.com,United States,South,East South Central
Against the Grain Production Facility,micro,1800 Northwestern Pkwy Louisville Kentucky 40203,Kentucky,Not Available,Not Available,United States,South,East South Central
Aigean Ales,micro,250 Commercial St Ste 2001 Manchester New Hampshire 03101-1165,New Hampshire,6035188550,Not Available,United States,Northeast,New England
Aiken Brewing Co,brewpub,140 Laurens St SW Aiken South Carolina 29801-3848,South Carolina,8035020707,http://www.aikenbrewingcompany.com,United States,South,South Atlantic
Airline Brewing Company,micro,22 Mill Ln Amherst Maine 4428,Maine,2075842337,http://www.abcmaine.beer,United States,Northeast,New England
Airways Brewing Co. Bistro & Beer Garden,brewpub,320 W Harrison St Kent Washington 98032,Washington,2532368632,http://airwaysbrewing.com/bistro-beer-garden/,United States,West,Pacific
Airways Brewing Co,micro,8611 S 212th St Kent Washington 98031-1910,Washington,2532001707,http://www.airwaysbrewing.com,United States,West,Pacific
Akademia Brewing Company,brewpub,150 Crane Dr Athens Georgia 30606-0600,Georgia,7064613208,http://www.AkademiaBC.com,United States,South,South Atlantic
Akronym Brewing LLC,micro,58 E Market St Akron Ohio 4430,Ohio,3306208274,http://www.akronymbrewing.com,United States,Midwest,East North Central
Alameda Brewing Co,micro,4736 SE 24th Ave Portland Oregon 97202-4787,Oregon,5034609025,Not Available,United States,West,Pacific
Alameda Brewing Co,micro,4765 NE Fremont St Portland Oregon 97213-1724,Oregon,5034609025,http://www.alamedabrewing.com,United States,West,Pacific
Alameda Island Brewing Company,micro,1716 Park St Alameda California 94501-1416,California,5102178885,http://www.alamedaislandbrewingcompany.com,United States,West,Pacific
Alamo Beer Co,micro,415 Burnet St San Antonio Texas 78202-1909,Texas,2108725589,http://www.alamobeer.com,United States,South,West South Central
Alaro Craft Brewery,brewpub,2004 Capitol Ave Sacramento California 95811,California,9164367711,http://www.alarobrewing.com,United States,West,Pacific
Alaskan Brewing Co.,regional,5429 Shaune Dr Juneau Alaska 99801-9540,Alaska,9077805866,http://www.alaskanbeer.com,United States,West,Pacific
Albia Brewing Co,brewpub,11 Benton Ave E Albia Iowa 52531-2032,Iowa,6419324085,http://www.albiabrewingcompany.blogspot.com,United States,Midwest,West North Central
Albion Malleable Brewing Company,brewpub,420 S Superior St Albion Michigan 49224,Michigan,5173432202,http://www.albionmalleable.com,United States,Midwest,East North Central
Alcatraz Brewing,micro,20 Ocean Vista Ln Palm Coast Florida 32137-2743,Florida,3866278909,http://www.alcatraz.beer,United States,South,South Atlantic
Aldus Brewing Company,micro,555 Centennial Ave Hanover Pennsylvania 17331-3936,Pennsylvania,7176342407,http://www.aldusbrewing.com,United States,Northeast,Middle Atlantic
Ale Asylum,regional,2002 Pankratz St Madison Wisconsin 53704-4024,Wisconsin,6086633926,http://www.aleasylum.com,United States,Midwest,East North Central
Ale House Brewing Co,micro,Not Available San Jose California 95118-1605,California,4083907574,Not Available,United States,West,Pacific
Ale Industries,micro,3096 E 10th St Oakland California 94601-2960,California,9254705280,http://www.aleindustries.com,United States,West,Pacific
Aleman Brewing,micro,3304 N Knox Ave Chicago Illinois 60641-4434,Illinois,8123404198,http://www.alemanchicago.com,United States,Midwest,East North Central
Alesatian Brewing Co.,brewpub,21 N Loudoun St Winchester Virginia 22601-4715,Virginia,5406672743,http://www.alesatianbrewing.com,United States,South,South Atlantic
Alewife Brewing Company,brewpub,514 51st Ave Long Island City New York 11101-5879,New York,7189377494,http://www.alewife.beer,United States,Northeast,Middle Atlantic
Alibi Ale Works,micro,204 E Enterprise St Incline Village Nevada 89451-9456,Nevada,7752987001,http://www.alibialeworks.com,United States,West,Mountain
Align Brewing Co,micro,8680 Miralani Dr San Diego California 92126-6300,California,Not Available,http://www.facebook.com/alignbrewing,United States,West,Pacific
All Rise Brewing Co,brewpub,235 N Ashland Ave Chicago Illinois 60607-1401,Illinois,3122266300,http://www.allrisebrewing.com,United States,Midwest,East North Central
Allagash Brewing Co,regional,50 Industrial Way Portland Maine 04103-1270,Maine,2078785385,http://www.allagash.com,United States,Northeast,New England
Allegheny City Brewing,micro,507 Foreland St Pittsburgh Pennsylvania 15212-4910,Pennsylvania,4129043732,http://www.alleghenycitybrewing.com,United States,Northeast,Middle Atlantic
Allegory Brewing,micro,777 NE 4th St McMinnville Oregon 97128-4502,Oregon,9713731253,http://www.allegorybrewing.com,United States,West,Pacific
Allentown Brew Works,brewpub,812 Hamilton St Allentown Pennsylvania 18101-2437,Pennsylvania,6104337777,http://www.thebrewworks.com,United States,Northeast,Middle Atlantic
Alliance Brewing Company,micro,1130 Sevier Ave Knoxville Tennessee 37920,Tennessee,8652475355,http://www.alliancebrewing.com,United States,South,East South Central
Alligator Brewing / Tall Paul's Brewhouse,micro,10 SE 2nd Ave Gainesville Florida 32601-6232,Florida,3525050990,Not Available,United States,South,South Atlantic
Alloy Brewing Company,micro,2700 Coon Rapids Blvd NW Coon Rapids Minnesota 55433-3955,Minnesota,7634230939,http://www.alloybrewingcompany.com,United States,Midwest,West North Central
Alltech's Lexington Brewing,regional,475 Angliana Ave Lexington Kentucky 40508-3134,Kentucky,8592552337,http://www.Kentuckyale.com,United States,South,East South Central
Alma Brewing Co,brewpub,208 E Superior St Alma Michigan 48801-1819,Michigan,9894620208,http://www.almabrewing.com,United States,Midwest,East North Central
Alma Mader Brewing,micro,2635 Southwest Blvd Kansas City Missouri 64108,Missouri,8169452589,http://almamaderbrewing.com,United States,Midwest,West North Central
Almanac Beer Company,micro,651B W Tower Ave Alameda California 94501-5047,California,4159326531,http://almanacbeer.com,United States,West,Pacific
Aloha Beer Co,brewpub,700 Queen St Honolulu Hawaii 96813-5110,Hawaii,8085455959,http://www.alohabeer.com,United States,West,Pacific
Alosta Brewing Co,micro,692 Arrow Grand Cir Covina California 91722-2122,California,9094558707,http://www.alostabrewing.com,United States,West,Pacific
Alpenglow Beer Co,contract,Not Available Lafayette California 94549-4621,California,Not Available,http://www.buckwildbrew.com,United States,West,Pacific
Alpha Brewing Co.,micro,4310 Fyler Ave Saint Louis Missouri 63116,Missouri,3146212337,http://www.alphabrewingcompany.com,United States,Midwest,West North Central
Alpine Beer Company,brewpub,6550 Mira Mesa Blvd San Diego California 92121-4100,California,6194452337,http://www.alpinebrewing.com,United States,West,Pacific
Alpine Brewing Co,micro,821 14th Ave Oroville Washington 98844,Washington,5094769662,http://www.alpine-brewing.com,United States,West,Pacific
ALT Brew / Greenview Brewing LLC,brewpub,1808 Wright St Madison Wisconsin 53704-2522,Wisconsin,6083523373,http://www.altbrew.com,United States,Midwest,East North Central
Alta Brewing Company,micro,1983 Julian Avenue San Diego California 92113-1125,California,6197957300,http://www.altabrewing.com,United States,West,Pacific
Altamont Beer Works,micro,2402 Research Dr Livermore California 94550-3850,California,9254432337,http://www.altamontbeerworks.com,United States,West,Pacific
Alternation Brewing Company,micro,1539 S Broadway Denver Colorado 80210-2607,Colorado,3038025340,http://www.alternationbrewing.com,United States,West,Mountain
Altitude Chophouse and Brewery,brewpub,320 S 2nd St Laramie Wyoming 82070-3612,Wyoming,3077214031,http://www.altitudechophouse.com,United States,West,Mountain
Altstadt Brewery,micro,6120 E US Highway 290 Fredericksburg Texas 78624-2176,Texas,8303042337,http://www.altstadtbeer.com,United States,South,West South Central
Alvarado Street Brewery & Grill,brewpub,426 Alvarado St Monterey California 93940-2711,California,8316552337,Not Available,United States,West,Pacific
